#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,xorg,"is the graphical server."
,xorg-xinit,"starts the graphical server."
,zsh,"zed shell"
,lxappearance,"configures gtk themes"
,firefox,"browser"
,dmenu,"launcher"
,ttf-linux-libertine,"provides the sans and serif fonts for LARBS."
,zsh,"zed shell"
,xterm,"terminal for X"
,htop,"interactive process viewer"
,ttf-fira-code,"fira code monospace font"
,ttf-joypixels,"emoji font"
,thunar,"file manager"
,arandr,"is a UI for screen adjustment."
,xcompmgr,"is for transparency and removing screen-tearing."
,dunst,"is a suckless notification system."
,gnome-keyring,"serves as the system keyring."
A,matcha-gtk-theme,"gives the dark GTK theme"
,papirus-icon-theme,"best icon theme"
A,breeze-hacked-cursor-theme,"breeze hacked cursor theme"
,neovim,"a tidier vim with some useful features"
,pulseaudio-alsa,"is the audio system."
,pulsemixer,"is an audio controler."
,pamixer,"is a command-line audio interface."
,unrar,"extracts rar's."
,unzip,"unzips zips."
,gnome-keyring,"manage authentication for apps"
A,nvm,"node version manager"
G,https://github.com/ObradovicNikola/dwm.git,"is the window manager."
G,https://github.com/ObradovicNikola/dwmstatus.git,"Sets status bar for dwm."
